Foreground,Background,Contrast Ratio,WCAG Level
pistachio.intense,foreground.regular,5.25,AA
pistachio.intense,foreground.intense,4.16,Fail
pistachio.intense,foreground.darken,2.56,Fail
pistachio.darken,ocean.faded,8.98,AAA
pistachio.darken,ocean.regular,3.25,Fail
pistachio.darken,ocean.intense,1.69,Fail
pistachio.darken,ocean.darken,1.07,Fail
pistachio.darken,mauve.faded,8.55,AAA
pistachio.darken,mauve.regular,4.07,Fail
pistachio.darken,mauve.intense,1.39,Fail
pistachio.darken,mauve.darken,1.09,Fail
pistachio.darken,pistachio.faded,10.24,AAA
pistachio.darken,pistachio.regular,5.21,AA
pistachio.darken,pistachio.intense,2.35,Fail
pistachio.darken,olive.faded,10.08,AAA
pistachio.darken,olive.regular,6.5,AA
pistachio.darken,olive.intense,2.75,Fail
pistachio.darken,olive.darken,1.01,Fail
pistachio.darken,merigold.faded,10.27,AAA
pistachio.darken,merigold.regular,6.11,AA
pistachio.darken,merigold.intense,3.56,Fail
pistachio.darken,merigold.darken,1.06,Fail
pistachio.darken,orange.faded,9.03,AAA
pistachio.darken,orange.regular,4.95,AA
pistachio.darken,orange.intense,2.87,Fail
pistachio.darken,orange.darken,1.04,Fail
pistachio.darken,rose.faded,8.26,AAA
pistachio.darken,rose.regular,3.14,Fail
pistachio.darken,rose.intense,2.36,Fail
pistachio.darken,rose.darken,1.1,Fail
pistachio.darken,background.faded,1.03,Fail
pistachio.darken,background.regular,1.25,Fail
pistachio.darken,background.intense,1.31,Fail
pistachio.darken,background.darken,1.38,Fail
pistachio.darken,foreground.faded,11.15,AAA
pistachio.darken,foreground.regular,12.36,AAA
pistachio.darken,foreground.intense,9.79,AAA
pistachio.darken,foreground.darken,6.02,AA
olive.faded,ocean.faded,1.12,Fail
olive.faded,ocean.regular,3.1,Fail
olive.faded,ocean.intense,5.97,AA
olive.faded,ocean.darken,10.8,AAA
olive.faded,mauve.faded,1.18,Fail
olive.faded,mauve.regular,2.48,Fail
olive.faded,mauve.intense,7.24,AAA
olive.faded,mauve.darken,11.02,AAA
olive.faded,pistachio.faded,1.02,Fail
olive.faded,pistachio.regular,1.94,Fail
olive.faded,pistachio.intense,4.29,Fail
olive.faded,pistachio.darken,10.08,AAA
olive.faded,olive.regular,1.55,Fail
olive.faded,olive.intense,3.67,Fail
olive.faded,olive.darken,9.98,AAA
olive.faded,merigold.faded,1.02,Fail
olive.faded,merigold.regular,1.65,Fail
olive.faded,merigold.intense,2.83,Fail
olive.faded,merigold.darken,9.51,AAA
olive.faded,orange.faded,1.12,Fail
olive.faded,orange.regular,2.04,Fail
olive.faded,orange.intense,3.51,Fail
olive.faded,orange.darken,10.47,AAA
olive.faded,rose.faded,1.22,Fail
olive.faded,rose.regular,3.21,Fail
olive.faded,rose.intense,4.27,Fail
olive.faded,rose.darken,11.12,AAA
olive.faded,background.faded,10.35,AAA
olive.faded,background.regular,12.57,AAA
olive.faded,background.intense,13.17,AAA
olive.faded,background.darken,13.92,AAA
olive.faded,foreground.faded,1.11,Fail
olive.faded,foreground.regular,1.23,Fail
olive.faded,foreground.intense,1.03,Fail
olive.faded,foreground.darken,1.68,Fail
olive.regular,ocean.faded,1.38,Fail
olive.regular,ocean.regular,2.0,Fail
olive.regular,ocean.intense,3.85,Fail
olive.regular,ocean.darken,6.96,AA
olive.regular,mauve.faded,1.32,Fail
olive.regular,mauve.regular,1.6,Fail
olive.regular,mauve.intense,4.67,AA
olive.regular,mauve.darken,7.1,AAA
olive.regular,pistachio.faded,1.58,Fail
olive.regular,pistachio.regular,1.25,Fail
olive.regular,pistachio.intense,2.76,Fail
olive.regular,pistachio.darken,6.5,AA
olive.regular,olive.faded,1.55,Fail
olive.regular,olive.intense,2.36,Fail
olive.regular,olive.darken,6.43,AA
olive.regular,merigold.faded,1.58,Fail
olive.regular,merigold.regular,1.06,Fail
olive.regular,merigold.intense,1.82,Fail
olive.regular,merigold.darken,6.13,AA
olive.regular,orange.faded,1.39,Fail
olive.regular,orange.regular,1.31,Fail
olive.regular,orange.intense,2.26,Fail
olive.regular,orange.darken,6.75,AA
olive.regular,rose.faded,1.27,Fail
olive.regular,rose.regular,2.07,Fail
olive.regular,rose.intense,2.75,Fail
olive.regular,rose.darken,7.17,AAA
olive.regular,background.faded,6.67,AA
olive.regular,background.regular,8.1,AAA
olive.regular,background.intense,8.49,AAA
olive.regular,background.darken,8.97,AAA
olive.regular,foreground.faded,1.72,Fail
olive.regular,foreground.regular,1.9,Fail
olive.regular,foreground.intense,1.51,Fail
olive.regular,foreground.darken,1.08,Fail
olive.intense,ocean.faded,3.27,Fail
olive.intense,ocean.regular,1.18,Fail
olive.intense,ocean.intense,1.63,Fail
olive.intense,ocean.darken,2.95,Fail
olive.intense,mauve.faded,3.11,Fail
olive.intense,mauve.regular,1.48,Fail
olive.intense,mauve.intense,1.97,Fail
olive.intense,mauve.darken,3.01,Fail
olive.intense,pistachio.faded,3.72,Fail
olive.intense,pistachio.regular,1.89,Fail
olive.intense,pistachio.intense,1.17,Fail
olive.intense,pistachio.darken,2.75,Fail
olive.intense,olive.faded,3.67,Fail
olive.intense,olive.regular,2.36,Fail
olive.intense,olive.darken,2.72,Fail
olive.intense,merigold.faded,3.73,Fail
olive.intense,merigold.regular,2.22,Fail
olive.intense,merigold.intense,1.3,Fail
olive.intense,merigold.darken,2.6,Fail
olive.intense,orange.faded,3.28,Fail
olive.intense,orange.regular,1.8,Fail
olive.intense,orange.intense,1.04,Fail
olive.intense,orange.darken,2.86,Fail
olive.intense,rose.faded,3.0,Fail
olive.intense,rose.regular,1.14,Fail
olive.intense,rose.intense,1.17,Fail
olive.intense,rose.darken,3.03,Fail
olive.intense,background.faded,2.82,Fail
olive.intense,background.regular,3.43,Fail
olive.intense,background.intense,3.59,Fail
olive.intense,background.darken,3.8,Fail
olive.intense,foreground.faded,4.05,Fail
olive.intense,foreground.regular,4.49,Fail
olive.intense,foreground.intense,3.56,Fail
olive.intense,foreground.darken,2.19,Fail
olive.darken,ocean.faded,8.89,AAA
olive.darken,ocean.regular,3.22,Fail
olive.darken,ocean.intense,1.67,Fail
olive.darken,ocean.darken,1.08,Fail
olive.darken,mauve.faded,8.47,AAA
olive.darken,mauve.regular,4.02,Fail
olive.darken,mauve.intense,1.38,Fail
olive.darken,mauve.darken,1.1,Fail
olive.darken,pistachio.faded,10.14,AAA
olive.darken,pistachio.regular,5.15,AA
olive.darken,pistachio.intense,2.33,Fail
olive.darken,pistachio.darken,1.01,Fail
olive.darken,olive.faded,9.98,AAA
olive.darken,olive.regular,6.43,AA
olive.darken,olive.intense,2.72,Fail
olive.darken,merigold.faded,10.17,AAA
olive.darken,merigold.regular,6.05,AA
olive.darken,merigold.intense,3.53,Fail
olive.darken,merigold.darken,1.05,Fail
olive.darken,orange.faded,8.94,AAA
olive.darken,orange.regular,4.9,AA
olive.darken,orange.intense,2.84,Fail
olive.darken,orange.darken,1.05,Fail
olive.darken,rose.faded,8.18,AAA
olive.darken,rose.regular,3.11,Fail
olive.darken,rose.intense,2.34,Fail
olive.darken,rose.darken,1.11,Fail
olive.darken,background.faded,1.04,Fail
olive.darken,background.regular,1.26,Fail
olive.darken,background.intense,1.32,Fail
olive.darken,background.darken,1.4,Fail
olive.darken,foreground.faded,11.04,AAA
olive.darken,foreground.regular,12.24,AAA
olive.darken,foreground.intense,9.7,AAA
olive.darken,foreground.darken,5.96,AA
merigold.faded,ocean.faded,1.14,Fail
merigold.faded,ocean.regular,3.16,Fail
merigold.faded,ocean.intense,6.08,AA
merigold.faded,ocean.darken,11.01,AAA
merigold.faded,mauve.faded,1.2,Fail
merigold.faded,mauve.regular,2.53,Fail
merigold.faded,mauve.intense,7.38,AAA
merigold.faded,mauve.darken,11.22,AAA
merigold.faded,pistachio.faded,1.0,Fail
merigold.faded,pistachio.regular,1.97,Fail
merigold.faded,pistachio.intense,4.37,Fail
merigold.faded,pistachio.darken,10.27,AAA
merigold.faded,olive.faded,1.02,Fail
merigold.faded,olive.regular,1.58,Fail
merigold.faded,olive.intense,3.73,Fail
merigold.faded,olive.darken,10.17,AAA
merigold.faded,merigold.regular,1.68,Fail
merigold.faded,merigold.intense,2.88,Fail
merigold.faded,merigold.darken,9.69,AAA
merigold.faded,orange.faded,1.14,Fail
merigold.faded,orange.regular,2.08,Fail
merigold.faded,orange.intense,3.58,Fail
merigold.faded,orange.darken,10.67,AAA
merigold.faded,rose.faded,1.24,Fail
merigold.faded,rose.regular,3.27,Fail
merigold.faded,rose.intense,4.35,Fail
merigold.faded,rose.darken,11.33,AAA
merigold.faded,background.faded,10.54,AAA
merigold.faded,background.regular,12.8,AAA
merigold.faded,background.intense,13.42,AAA
merigold.faded,background.darken,14.19,AAA
merigold.faded,foreground.faded,1.09,Fail
merigold.faded,foreground.regular,1.2,Fail
merigold.faded,foreground.intense,1.05,Fail
merigold.faded,foreground.darken,1.71,Fail
merigold.regular,ocean.faded,1.47,Fail
merigold.regular,ocean.regular,1.88,Fail
merigold.regular,ocean.intense,3.62,Fail
merigold.regular,ocean.darken,6.54,AA
merigold.regular,mauve.faded,1.4,Fail
merigold.regular,mauve.regular,1.5,Fail
merigold.regular,mauve.intense,4.38,Fail
merigold.regular,mauve.darken,6.67,AA
merigold.regular,pistachio.faded,1.68,Fail
merigold.regular,pistachio.regular,1.17,Fail
merigold.regular,pistachio.intense,2.6,Fail
merigold.regular,pistachio.darken,6.11,AA
merigold.regular,olive.faded,1.65,Fail
merigold.regular,olive.regular,1.06,Fail
merigold.regular,olive.intense,2.22,Fail
merigold.regular,olive.darken,6.05,AA
merigold.regular,merigold.faded,1.68,Fail
merigold.regular,merigold.intense,1.71,Fail
merigold.regular,merigold.darken,5.76,AA
merigold.regular,orange.faded,1.48,Fail
merigold.regular,orange.regular,1.23,Fail
merigold.regular,orange.intense,2.13,Fail
merigold.regular,orange.darken,6.34,AA
merigold.regular,rose.faded,1.35,Fail
merigold.regular,rose.regular,1.94,Fail
merigold.regular,rose.intense,2.59,Fail
merigold.regular,rose.darken,6.74,AA
merigold.regular,background.faded,6.27,AA
merigold.regular,background.regular,7.61,AAA
merigold.regular,background.intense,7.98,AAA
merigold.regular,background.darken,8.43,AAA
merigold.regular,foreground.faded,1.83,Fail
merigold.regular,foreground.regular,2.02,Fail
merigold.regular,foreground.intense,1.6,Fail
merigold.regular,foreground.darken,1.01,Fail
merigold.intense,ocean.faded,2.52,Fail
merigold.intense,ocean.regular,1.1,Fail
merigold.intense,ocean.intense,2.11,Fail
merigold.intense,ocean.darken,3.82,Fail
merigold.intense,mauve.faded,2.4,Fail
merigold.intense,mauve.regular,1.14,Fail
merigold.intense,mauve.intense,2.56,Fail
merigold.intense,mauve.darken,3.89,Fail
merigold.intense,pistachio.faded,2.87,Fail
merigold.intense,pistachio.regular,1.46,Fail
merigold.intense,pistachio.intense,1.51,Fail
merigold.intense,pistachio.darken,3.56,Fail
merigold.intense,olive.faded,2.83,Fail
merigold.intense,olive.regular,1.82,Fail
merigold.intense,olive.intense,1.3,Fail
merigold.intense,olive.darken,3.53,Fail
merigold.intense,merigold.faded,2.88,Fail
merigold.intense,merigold.regular,1.71,Fail
